866 615
598 625 2
457 541 2
482 583 3
532 584 3
634 793 2
683 725 3
135 379 2
814 863 1
126 360 1
692 717 1
469 584 1
86 792 1
648 744 1
330 531 1
81 233 3
99 488 2
783 802 1
706 717 3
545 791 1
553 805 2
640 658 1
197 741 2
678 793 3
133 476 3
747 791 3
367 379 2
62 218 1
142 371 3
702 846 1
787 798 3
356 737 1
726 762 3
674 853 1
364 529 2
218 508 1
510 582 2
497 497 2
777 795 2
239 786 2
92 647 2
720 729 2
317 860 1
232 483 2
599 655 3
777 810 2
659 734 2
726 802 2
163 684 2
408 496 3
517 841 3
576 667 1
857 865 1
35 665 1
234 844 3
803 861 1
308 861 1
387 445 2
365 763 2
103 818 3
387 413 1
679 716 3
352 787 3
242 578 1
672 677 2
58 398 2
746 824 2
33 486 2
593 803 1
807 857 2
661 811 3
579 695 3
357 858 2
683 702 3
549 777 1
699 819 1
520 783 2
286 499 3
739 795 3
382 534 3
460 590 3
481 721 2
115 769 3
249 665 3
252 305 2
17 663 2
734 863 1
281 557 3
682 753 1
218 826 1
759 860 3
217 416 2
392 801 1
163 438 3
748 764 2
731 866 1
372 824 1
315 645 1
731 851 3
850 850 2
524 771 2
804 853 2
141 392 3
367 660 2
622 709 1
417 734 1
761 761 2
58 461 1
502 649 1
42 827 3
132 441 1
798 807 3
628 830 2
615 702 2
173 576 2
858 862 2
275 561 2
362 720 1
228 657 2
795 806 3
51 430 1
3 233 2
107 720 3
184 807 3
52 720 3
722 766 3
248 332 3
152 738 2
381 771 2
198 488 2
674 759 3
381 631 1
798 854 2
616 850 3
622 683 1
379 793 3
236 754 2
379 600 3
705 862 1
624 651 3
340 667 2
45 629 2
512 534 2
259 414 1
98 733 2
859 864 3
506 523 2
318 666 1
555 620 3
16 334 2
816 845 1
710 853 3
55 148 2
167 477 1
613 822 3
373 566 3
160 208 1
104 300 3
37 184 2
518 715 3
281 656 1
224 328 2
43 499 3
396 409 2
679 717 2
694 716 1
849 860 1
275 812 3
550 855 3
475 735 3
132 767 3
686 746 3
789 825 1
117 495 3
30 60 2
595 780 2
786 824 3
491 548 3
720 745 3
129 406 3
507 568 1
724 765 1
123 628 1
65 94 2
148 311 1
774 807 1
459 735 2
536 546 2
809 853 1
66 620 1
122 314 1
231 239 2
88 406 3
586 647 2
199 839 2
639 708 1
170 569 3
352 479 2
288 638 2
729 733 1
401 779 3
807 844 3
114 356 2
166 619 1
421 856 1
426 835 3
185 527 2
96 171 2
42 484 1
796 803 1
57 736 3
744 747 3
115 683 2
845 860 1
82 220 3
34 201 1
133 365 1
572 641 3
365 799 2
443 782 1
739 770 1
284 842 1
711 839 2
105 700 1
115 209 2
784 808 3
643 865 1
81 852 2
278 316 2
458 851 1
91 835 2
551 695 1
143 520 3
14 581 1
425 636 3
250 370 2
439 623 1
837 848 3
702 703 1
621 844 2
528 649 1
731 742 3
633 757 1
250 653 1
341 424 3
463 575 1
320 627 2
720 824 3
607 658 3
83 356 2
255 655 2
145 724 2
723 760 2
241 706 3
552 708 3
565 830 1
583 630 2
136 494 1
407 529 2
658 756 2
533 770 2
530 733 1
824 835 2
213 352 3
190 865 1
628 718 2
226 683 3
623 836 1
347 835 2
307 327 1
115 401 1
474 839 3
473 544 1
742 768 1
407 587 3
739 826 2
774 822 1
297 671 3
452 789 3
154 626 3
148 198 2
108 646 3
347 861 3
256 572 1
232 458 2
765 775 3
239 859 1
104 348 3
515 679 1
838 838 1
370 800 3
334 614 3
612 632 2
485 787 3
689 784 2
11 40 1
1 376 2
88 539 3
336 512 1
827 866 3
318 548 1
590 664 1
271 546 1
609 760 2
150 380 3
824 852 2
471 668 2
857 861 3
515 736 3
296 506 1
251 769 2
54 512 2
218 604 2
152 558 3
111 206 1
336 728 3
690 865 1
471 531 3
330 573 3
92 808 1
579 816 2
440 814 1
451 572 3
791 836 1
453 490 1
839 862 3
199 598 2
588 644 3
731 812 3
287 373 2
34 401 2
324 692 1
785 842 3
574 776 3
94 334 2
800 855 3
380 766 3
243 646 2
855 863 2
120 406 1
253 789 3
25 454 3
467 665 2
83 704 1
131 549 2
391 750 1
764 850 1
468 549 3
675 798 2
147 839 2
370 692 3
785 831 2
212 527 3
712 811 2
706 862 3
4 699 3
753 846 3
579 682 3
331 401 2
21 493 2
270 331 3
413 704 1
789 822 3
420 632 3
829 856 3
263 526 3
390 508 1
334 374 1
626 862 1
70 481 1
761 809 1
330 844 1
781 847 3
44 669 1
563 856 2
530 625 2
30 283 3
605 853 2
165 521 1
607 815 1
362 436 1
652 736 2
510 565 2
570 859 2
389 792 3
144 350 3
363 480 3
796 839 2
839 851 1
798 854 1
730 844 1
379 507 2
263 679 1
246 736 2
302 470 3
766 843 3
41 261 1
464 606 2
431 699 2
36 80 3
403 684 2
69 390 3
693 866 2
812 819 3
90 635 2
786 804 2
276 427 1
860 861 3
803 850 2
152 543 2
141 537 1
461 602 3
604 771 2
383 473 3
705 717 3
235 659 1
247 307 2
653 758 3
858 858 2
187 636 1
134 384 1
391 601 3
497 749 3
404 580 1
638 714 2
497 796 1
120 237 3
163 781 1
690 778 3
180 467 1
477 770 2
203 773 2
198 392 3
621 828 2
330 708 3
126 502 3
411 866 2
34 733 2
46 757 2
822 841 2
767 793 3
96 340 2
616 713 3
688 802 3
370 850 1
371 677 3
115 456 2
117 693 2
105 783 2
193 805 2
132 751 3
459 619 2
572 705 1
812 822 1
767 833 3
859 863 1
163 395 1
84 792 2
368 760 2
705 746 3
496 716 2
49 303 1
390 764 2
848 858 1
410 607 1
247 371 1
829 830 1
211 742 1
172 430 1
295 804 2
544 594 3
658 728 2
416 448 2
586 833 2
264 499 3
264 392 1
725 782 3
232 716 3
466 674 3
403 519 1
702 720 2
266 381 2
43 310 2
138 462 3
531 807 3
303 643 3
284 503 1
654 852 1
100 298 3
769 787 2
175 282 1
459 857 2
709 801 3
165 184 1
571 682 3
235 619 1
861 861 2
87 658 3
308 811 3
652 728 1
592 766 1
123 324 1
453 703 2
298 339 2
569 689 2
482 503 1
180 202 3
507 568 2
361 758 2
8 854 2
821 833 2
143 448 1
439 801 1
515 550 3
313 445 3
574 816 2
783 832 3
686 866 1
664 696 3
446 841 2
560 788 1
122 778 3
330 457 3
835 848 1
732 744 3
523 528 3
265 708 3
440 762 1
