8265 8269
4860 6772 3
4855 6492 3
6133 7042 2
3744 5052 2
5700 8153 2
6707 7289 3
1786 7390 3
681 1542 2
4096 7525 3
7375 7445 2
4550 5702 1
6476 7768 1
1269 6137 2
4711 4951 3
2604 5304 3
82 5656 2
2158 4004 2
620 7564 1
6024 6329 1
4087 7333 1
1962 3651 1
8116 8147 1
4205 8105 1
1514 5883 2
8133 8260 3
7917 7919 2
5177 8204 2
2472 7287 2
2981 4100 2
3636 3681 1
3921 4307 3
3411 8153 3
3277 6916 3
5845 6613 1
7177 7286 3
7588 7994 2
99 5505 2
1803 3502 2
3672 5885 2
3531 5039 3
7356 7837 3
2875 8264 3
4279 4852 1
4013 5451 1
1492 3672 1
3718 8160 2
4846 6018 3
1851 6724 2
3423 6822 2
2892 3225 2
2094 7869 1
3222 6265 2
2288 3270 3
7483 8257 1
6321 8176 2
3458 3671 2
3125 6198 1
2504 7899 2
4370 5277 2
3844 4360 3
3525 3990 3
5541 5943 3
2107 3940 3
1985 6451 3
1257 6113 1
6398 8096 2
6623 6962 2
1857 4435 3
2866 8001 3
3064 5180 3
558 884 2
4113 7527 2
6146 6171 3
4712 5504 1
6604 6814 2
1270 2614 1
2034 5154 1
7018 8045 1
7474 7749 3
775 3480 1
1394 1728 2
4933 4961 3
4437 4820 2
7855 8043 3
6845 7720 3
2450 4481 1
2574 8072 1
198 3467 3
4003 6178 3
7691 7881 2
7058 7586 3
6921 7622 3
3171 4917 2
4932 7365 1
1407 4883 2
7053 7496 1
5374 7378 3
4135 6716 3
1968 4745 1
3199 7683 3
7736 7749 3
4700 7689 2
2754 6277 1
648 6497 3
1144 5089 3
2377 4115 1
3825 5308 1
2076 3262 3
7154 7710 3
6885 6938 3
2831 5160 3
7791 7845 2
6935 7635 1
6385 6641 3
912 1992 1
6496 7063 1
1062 1349 3
1286 6756 3
2517 7879 3
831 4938 2
3028 6757 3
3008 3310 2
574 1788 3
3465 6053 1
7858 8105 3
5869 6565 2
1060 4293 1
754 1245 1
3126 6369 3
5853 7825 2
4621 7609 1
556 8051 1
2438 2743 1
1129 1611 1
4464 7825 3
4095 4497 1
7410 7985 2
3074 6612 2
6808 6845 2
81 2908 1
6098 7189 3
480 8079 1
6098 6799 3
5847 8042 2
8223 8265 2
1007 4246 1
7906 8227 2
7239 7687 3
5142 6187 1
997 7924 3
8027 8207 3
7879 8011 3
3883 8167 1
530 2585 3
3635 7375 3
3601 7954 3
4992 7128 2
7418 7476 1
3953 4926 3
396 8232 1
2578 6569 2
4383 5971 1
5929 6251 3
272 959 3
2474 3179 1
4884 5291 3
77 486 2
5925 7401 3
3570 5749 1
2067 4267 1
4842 5082 2
2214 8140 1
2001 7927 2
1538 3708 1
2032 2464 3
6631 7255 1
6532 6868 2
2983 6225 1
4267 7435 1
5843 8063 3
3685 5578 3
743 7042 1
2538 8093 1
5568 6777 1
3217 3331 3
2381 5393 2
5124 8161 2
6399 6554 2
5791 7385 1
7892 8118 3
1589 3125 1
2838 5484 1
1775 6771 2
3056 5236 2
3103 8245 1
2073 4513 3
3358 7781 3
7506 7700 1
4705 7672 2
7077 7151 1
1943 8207 1
5712 7594 3
1346 6492 3
8155 8263 1
6256 7316 2
3361 7664 1
1127 5839 3
787 3365 1
8029 8169 2
6806 8005 1
6527 6662 3
2456 6995 2
566 743 2
4710 7532 2
3596 8099 2
4528 5682 3
2337 4305 3
5901 7911 1
6778 7617 2
442 4939 1
8107 8203 1
1726 5495 2
5012 5682 2
1005 1828 3
395 6239 1
1146 3029 1
2831 2852 2
6714 7820 2
7098 7919 2
6787 7876 2
1865 2254 3
6663 7583 3
6496 7229 2
2466 3924 1
3904 6151 1
4561 5255 1
4563 5616 3
824 5628 2
5803 6462 2
5415 8125 2
2977 6666 3
6088 7883 1
7531 7904 2
5378 6500 2
2829 6834 3
6207 7976 3
5721 7837 2
813 3333 1
1754 4447 2
1410 1467 1
7459 7803 1
